                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                       10398      9.2445189885471881E-004      1.0000000000000000E+000      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          2.0538971089867383E+007          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9419039585540725E-001         -9.9778221926327182E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          4.8612400699037224E+007          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9424711680670141E-001         -9.9778112527748797E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          8.3917152342476740E+007          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9430073234840599E-001         -9.9777910502719591E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          1.2831949162621959E+008          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9435135194810254E-001         -9.9777667495888389E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          1.8446860428324863E+008          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9440139821462137E-001         -9.9777385951786590E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          2.5305563825867522E+008          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9445093701389509E-001         -9.9777066809847781E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          3.3375843781963611E+008          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9449961257924835E-001         -9.9776711246753558E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          4.2731257566420925E+008          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9454530591252333E-001         -9.9776312637779108E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          5.3819450746945310E+008          9.9999999999999193E+002          4.2084342551831537E+002          2.1280514986493181E+001          1.9672812487869923E-002          1.9836637518157264E+001          3.3101018769783872E+002         -9.9458787022343398E-001         -9.9775849453895404E-001          9.2445189885471881E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.1462047653141305E+050          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
