                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      8.0000000000000004E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                          runtime_minutes                         spin_period_days                           spin_period_hr                      spin_period_minutes                 spin_orital_period_ratio                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                     779                                      783                  1.0411371836661611E+008                  6.6142345557079265E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.0107142958449488E-003                  9.9999999994212552E-001                  9.7098020936232388E-001                  8.3760782160586245E-003                  7.8130218340802961E-008                  9.9999999994212552E-001                  9.7098020936232388E-001                  8.3760782160586245E-003                  7.8130218340802961E-008                 -1.1212985931336117E-001                 -4.7176283938782113E+001                 -9.8999999999999986E+001                 -1.1212985931336117E-001                 -1.2754490581220751E-001                 -1.5696540571446818E+000                 -4.7176283938782113E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8060560403592536E+000                 -6.7521241563154255E-002                 -1.2261386504745755E-001                  4.6831170835080398E+000                 -8.2013897461091493E-011                  7.1357790777544539E+000                  1.9108781775163983E+000                  1.7174736387966796E+001                  1.9108781775163983E+000                  7.1357790777544539E+000                  6.2222141886353732E-001                  8.4776851645670814E-001                  1.3025426136758118E+000                  6.9551991111743394E-001                  2.8389169926261992E-001                  2.1903019337373721E-004                  9.3598736259878357E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9940140710288834E-001                  2.8039945692423873E-001                                        0                                        0                                        6                  8.4048333333333336E-001                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  1.0000000000000000E+000                  4.1137183666161173E+006                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -4.5439088099909521E-002                 -6.2842146666810095E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -3.4526785225539143E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     780                                      776                  1.0740469305990900E+008                  6.5173245426998703E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -3.4526785225539143E+001                  5.8349060643553153E-003                  9.9999999995775002E-001                  9.2801856818656936E-001                  4.6295362301785881E-003                  7.8130217517902167E-008                  9.9999999995775002E-001                  9.2801856818656936E-001                  4.6295362301785881E-003                  7.8130217517902167E-008                 -1.0982818421797626E-001                 -4.7141478595323306E+001                 -9.8999999999999986E+001                 -1.0982818421797631E-001                 -1.2491623057603557E-001                 -1.5765016682542692E+000                 -4.7141478595323306E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8023800563455921E+000                 -9.9462350951926015E-002                 -1.3123245171452064E-001                  4.7003542568421661E+000                 -1.2115443617025061E-011                  7.1363688561165048E+000                  1.9110667569896871E+000                  1.7175433133899798E+001                  1.9110667569896871E+000                  7.1363688561165048E+000                  6.2233360435556628E-001                  8.4765220157457866E-001                  1.3028415016434838E+000                  6.9528800950755798E-001                  2.8411771199158653E-001                  1.7054368892281563E-004                  9.3598117058460110E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9937531967936584E-001                  2.8042269263707614E-001                                        0                                        0                                        5                  1.1458000000000002E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  2.0000000000000000E+000                  7.4046930599090122E+006                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -4.6938792865205366E-002                 -6.3572276663206906E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -3.5718925744882235E+001                 -3.4526785225539143E+001                 -3.4526785225539143E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     781                                      773                  1.1133956798940334E+008                  6.5949309328085022E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -3.5718925744882235E+001                  3.3644263595516144E-003                  9.9999999995775002E-001                  9.2296831827902215E-001                  3.3147562442018552E-003                  7.8130217517902167E-008                  9.9999999995775002E-001                  9.2296831827902215E-001                  3.3147562442018552E-003                  7.8130217517902167E-008                 -1.1090651409886929E-001                 -4.7131467813972264E+001                 -1.5954589770191003E+001                 -1.1090651409886922E-001                 -1.2530823467952074E-001                 -1.5974574062119036E+000                 -4.7131467813972264E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8013848243054942E+000                 -1.0816169729590783E-001                 -1.3359166080631540E-001                  4.7050726750257557E+000                 -2.7614229863673905E-012                  7.1364989270011625E+000                  1.9116478384232731E+000                  1.7176053725110698E+001                  1.9116478384232731E+000                  7.1364989270011625E+000                  6.2246985105368613E-001                  8.4751208567554726E-001                  1.3032011859555475E+000                  6.9500808766345323E-001                  2.8439125874096771E-001                  1.2665487664256846E-004                  9.3597329422623922E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9934394486136742E-001                  2.8045028432137803E-001                                        0                                        0                                        4                  1.1524166666666666E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  3.0000000000000000E+000                  1.1339567989403341E+007                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -4.8648667721552491E-002                 -6.3769625731720991E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -3.7110494565262812E+001                 -3.5718925744882235E+001                 -3.5718925744882235E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     782                                      771                  1.1575972361851788E+008                  6.6454375606784550E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -3.7110494565262812E+001                  2.2776984760679289E-003                  9.9999999995775002E-001                  9.2172433156151812E-001                  1.7154865245641027E-003                  7.8130217517902167E-008                  9.9999999995775002E-001                  9.2172433156151812E-001                  1.7154865245641027E-003                  7.8130217517902167E-008                 -1.1141749558367851E-001                 -4.7122651213499843E+001                 -1.5954589770191003E+001                 -1.1141749558367844E-001                 -1.2508145894094980E-001                 -1.6204391874472588E+000                 -4.7122651213499843E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8011855400382037E+000                 -1.1007983453046771E-001                 -1.3415216088901516E-001                  4.7061936751911553E+000                 -5.8339307763298108E-013                  7.1366378811318976E+000                  1.9125801873628765E+000                  1.7177024974048493E+001                  1.9125801873628765E+000                  7.1366378811318976E+000                  6.2262475552398766E-001                  8.4735293339181805E-001                  1.3036090151781041E+000                  6.9469008262877352E-001                  2.8470423763436553E-001                  9.1035313039193727E-005                  9.3596381077478107E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9930858989891498E-001                  2.8048121420775157E-001                                        0                                        0                                        4                  1.1572500000000001E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  4.0000000000000000E+000                  1.5759723618517885E+007                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -5.0472388956338231E-002                 -6.3816354460899183E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -3.8634237687993128E+001                 -3.7110494565262812E+001                 -3.7110494565262812E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     783                                      771                  1.2053897106155555E+008                  6.6793595164726405E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -3.8634237687993128E+001                  1.3581941314954570E-003                  9.9999999995775002E-001                  9.2152074727025368E-001                  8.5301510235658018E-004                  7.8130217517902167E-008                  9.9999999995775002E-001                  9.2152074727025368E-001                  8.5301510235658018E-004                  7.8130217517902167E-008                 -1.1118059551142674E-001                 -4.7111846914232245E+001                 -9.8999999999999986E+001                 -1.1118059551142692E-001                 -1.2414019399563013E-001                 -1.6428370463800344E+000                 -4.7111846914232245E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8012110831846679E+000                 -1.1015340340415695E-001                 -1.3424003161878845E-001                  4.7063694166507020E+000                 -8.4568491757152811E-014                  7.1367189329527765E+000                  1.9135067951812201E+000                  1.7177921988071780E+001                  1.9135067951812201E+000                  7.1367189329527765E+000                  6.2279550319608945E-001                  8.4717744871466294E-001                  1.3040580615913779E+000                  6.9433951031216545E-001                  2.8505152397214695E-001                  6.4088081063296158E-005                  9.3595252005666159E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9927028936577729E-001                  2.8051469984046057E-001                                        0                                        0                                        4                  1.1758000000000000E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  5.0000000000000000E+000                  2.0538971061555564E+007                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -5.2340363586560974E-002                 -6.3823674751258319E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -4.0239404605147705E+001                 -3.8634237687993128E+001                 -3.8634237687993128E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     784                                      771                  1.2561530699355897E+008                  6.7055503542792358E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -4.0239404605147705E+001                  4.0162036055312565E-004                  9.9999999995775002E-001                  9.2158439506693668E-001                  2.4035170262226568E-004                  7.8130217517902167E-008                  9.9999999995775002E-001                  9.2158439506693668E-001                  2.4035170262226568E-004                  7.8130217517902167E-008                 -1.1067581227225869E-001                 -4.7100593063218227E+001                 -9.8999999999999986E+001                 -1.1067581227225894E-001                 -1.2297706727903428E-001                 -1.6646468117116355E+000                 -4.7100593063218227E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8012807415041405E+000                 -1.0984661780399484E-001                 -1.3422595545765231E-001                  4.7063412643284295E+000                  1.2753848828692361E-014                  7.1368050678900570E+000                  1.9143767669491483E+000                  1.7178756699237514E+001                  1.9143767669491483E+000                  7.1368050678900570E+000                  6.2298083081896705E-001                  8.4698690123392439E-001                  1.3045452904546275E+000                  6.9395883075535214E-001                  2.8543029351817889E-001                  4.5051100847105663E-005                  9.3593923585197063E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9922956250916912E-001                  2.8055036078998152E-001                                        0                                        0                                        3                  1.1800500000000000E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  6.0000000000000000E+000                  2.5615306993558984E+007                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -5.4217654884299110E-002                 -6.3822502201163411E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -4.1900551881566024E+001                 -4.0239404605147705E+001                 -4.0239404605147705E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     785                                      770                  1.3096335936359288E+008                  6.7281956513770407E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -4.1900551881566024E+001                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.2170077822128005E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.2170077822128005E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1013762660724062E-001                 -4.7089780668491919E+001                 -1.5255619765854984E+001                 -1.1013762660724032E-001                 -1.2182534164351796E-001                 -1.6860230753851895E+000                 -4.7089780668491919E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8013499426778852E+000                 -1.0949863108724350E-001                 -1.3419036444676605E-001                  4.7062700823066574E+000                  3.0609579403790219E-014                  7.1369354291387621E+000                  1.9151163942231515E+000                  1.7179494487473558E+001                  1.9151163942231515E+000                  7.1369354291387621E+000                  6.2317925620970371E-001                  8.4678281920784981E-001                  1.3050670780235456E+000                  6.9355098167293050E-001                  2.8583703087336615E-001                  3.2597857034239990E-005                  9.3592411247127704E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9918663389229241E-001                  2.8058804415992061E-001                                        0                                        0                                        4                  1.2362166666666667E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  7.0000000000000000E+000                  3.0963359363592878E+007                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -5.6087761855995046E-002                 -6.3819537285574801E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -4.3606110617080844E+001                 -4.1900551881566024E+001                 -4.1900551881566024E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     786                                      771                  1.3657714732603988E+008                  6.7492560049357024E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -4.3606110617080844E+001                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.2181196854908165E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.2181196854908165E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0963083530068589E-001                 -4.7079742298098267E+001                 -9.8999999999999986E+001                 -1.0963083530068601E-001                 -1.2074683402307705E-001                 -1.7070128028407916E+000                 -4.7079742298098267E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8014124167931120E+000                 -1.0915686686173258E-001                 -1.3414443056446318E-001                  4.7061782145420512E+000                  3.7636434340412119E-014                  7.1370783072061617E+000                  1.9157654286178603E+000                  1.7180146290945018E+001                  1.9157654286178603E+000                  7.1370783072061617E+000                  6.2338761016152633E-001                  8.4656866769356287E-001                  1.3056149027938064E+000                  6.9312272942672937E-001                  2.8626420521738921E-001                  2.5096317887541114E-005                  9.3590810668927847E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9914157028483148E-001                  2.8062772148345833E-001                                        0                                        0                                        4                  1.9053166666666668E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  8.0000000000000000E+000                  3.6577147326039881E+007                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -5.7942715448137783E-002                 -6.3815710396043290E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -4.5350888316110357E+001                 -4.3606110617080844E+001                 -4.3606110617080844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     787                                      771                  1.4245842684397465E+008                  6.7694718204855109E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -4.5350888316110357E+001                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.2190803803199040E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.2190803803199040E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0916534324647317E-001                 -4.7070327389090096E+001                 -1.5653559774527022E+001                 -1.0916534324647305E-001                 -1.1974868839024376E-001                 -1.7276076215271223E+000                 -4.7070327389090096E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8014692943644053E+000                 -1.0881893143435159E-001                 -1.3408921799335988E-001                  4.7060677893998450E+000                  4.3184497930398932E-014                  7.1372140820714289E+000                  1.9163614115380743E+000                  1.7180730467067367E+001                  1.9163614115380743E+000                  7.1372140820714289E+000                  6.2360607127052770E-001                  8.4634423902759426E-001                  1.3061892770902888E+000                  6.9267391179401205E-001                  2.8671242926813428E-001                  2.0693499707695273E-005                  9.3589120797055725E-003                  3.4416073257059220E-003                  9.3604492797742089E-003                  6.9909437285196763E-001                  2.8066941538146561E-001                                        0                                        0                                        6                  1.9111000000000000E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  9.0000000000000000E+000                  4.2458426843974650E+007                  4.7999999999999959E-001                  2.5799702922840031E+000                  2.7179098933903424E+002                  2.5125769618607280E-001                  1.2160801949708663E-001                  2.0292498324097239E+000                 -5.9778431226819195E-002                 -6.3811109935423216E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -4.7131936592117206E+001                 -4.5350888316110357E+001                 -4.5350888316110357E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  8.9744798917637043E+048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
