                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      561                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7586970438187843E-005                  8.7028397489782572E-001                  2.4035205746313971E-004                  9.9999822070636646E-001                  9.4991627391841216E-001                  8.7028397489782572E-001                  2.4035205746313971E-004                  9.9999822070636646E-001                  9.4991627391841216E-001                 -2.0876595054026065E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876595054026065E+001                 -2.0876595054026065E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6558801404509822E+000                  2.5137194921495625E+000                  1.4683583016254433E+000                  1.5011727501622385E+000                 -5.0131746762005802E-001                  5.4779114793520476E+000                 -3.2899412233117302E+000                  1.0311507270799986E+001                 -3.2899412233117302E+000                  5.4779114793520476E+000                  6.2131674223138200E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059845E-003                  9.3604492797742141E-003                  6.9999999999999984E-001                  2.7997020236474895E-001                                        0                                        0                                        6 
                                       2                                      557                  2.2000000000000003E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7586875095487203E-005                  8.7028397489782572E-001                  2.4035207449829877E-004                  9.9999822070636646E-001                  9.4991627391975164E-001                  8.7028397489782572E-001                  2.4035207449829877E-004                  9.9999822070636646E-001                  9.4991627391975164E-001                 -2.0876595192986176E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876595192986176E+001                 -2.0876595192986176E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6551465119353996E+000                  2.5107297371083255E+000                  1.4683306811359900E+000                  1.5012279911411452E+000                 -4.9558230541643566E-001                  5.4779114482313283E+000                 -3.2899411725797538E+000                  1.0311507289707864E+001                 -3.2899411725797538E+000                  5.4779114482313283E+000                  6.2131674237066381E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059845E-003                  9.3604492797742141E-003                  6.9999999999999962E-001                  2.7997020236474890E-001                                        0                                        0                                        4 
                                       3                                      558                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7586755948588855E-005                  8.7028397489782594E-001                  2.4035209555267853E-004                  9.9999805600816050E-001                  9.4991627392135003E-001                  8.7028397489782594E-001                  2.4035209555267853E-004                  9.9999805600816050E-001                  9.4991627392135003E-001                 -2.0876595354527424E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876595354527424E+001                 -2.0876595354527424E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6543030759951560E+000                  2.5072912776963383E+000                  1.4682983233104825E+000                  1.5012927067921600E+000                 -4.8426917586877544E-001                  5.4779114145184273E+000                 -3.2899411158731824E+000                  1.0311507311931541E+001                 -3.2899411158731824E+000                  5.4779114145184273E+000                  6.2131674252283398E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059836E-003                  9.3604492797742141E-003                  6.9999999999999984E-001                  2.7997020236474895E-001                                        0                                        0                                        4 
                                       4                                      557                  5.3680000000000001E-005                 -4.7624562618571247E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7586606032326102E-005                  8.7028397489782594E-001                  2.4035212171136995E-004                  9.9999805600816050E-001                  9.4991627392324440E-001                  8.7028397489782594E-001                  2.4035212171136995E-004                  9.9999805600816050E-001                  9.4991627392324440E-001                 -2.0876595541413362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876595541413362E+001                 -2.0876595541413362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6533241853364324E+000                  2.5032996210899614E+000                  1.4682602763247425E+000                  1.5013688007636401E+000                 -4.7502611850559595E-001                  5.4779113786429487E+000                 -3.2899410531168325E+000                  1.0311507337981945E+001                 -3.2899410531168325E+000                  5.4779113786429487E+000                  6.2131674268653969E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059836E-003                  9.3604492797742141E-003                  6.9999999999999962E-001                  2.7997020236474890E-001                                        0                                        0                                        4 
                                       5                                      560                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7586415936270438E-005                  8.7028397489782594E-001                  2.4035215441047284E-004                  9.9999805600816050E-001                  9.4991627392546929E-001                  8.7028397489782594E-001                  2.4035215441047284E-004                  9.9999805600816050E-001                  9.4991627392546929E-001                 -2.0876595756378983E+001                 -9.8999999999999986E+001                 -3.6248538216286043E+001                 -2.0876595756378983E+001                 -2.0876595756378983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6521989724733293E+000                  2.4987095862490505E+000                  1.4682156846304935E+000                  1.5014579841521385E+000                 -4.6452926108182580E-001                  5.4779113412544742E+000                 -3.2899409843936205E+000                  1.0311507368435946E+001                 -3.2899409843936205E+000                  5.4779113412544742E+000                  6.2131674285959215E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059836E-003                  9.3604492797742141E-003                  6.9999999999999984E-001                  2.7997020236474895E-001                                        0                                        0                                        4 
                                       6                                      560                  9.9299199999999986E-005                 -4.6040937697618753E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7586172786724571E-005                  8.7028397489782594E-001                  2.4035219557011142E-004                  9.9999805600816050E-001                  9.4991627392805056E-001                  8.7028397489782594E-001                  2.4035219557011142E-004                  9.9999805600816050E-001                  9.4991627392805056E-001                 -2.0876596002084430E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876596002084430E+001                 -2.0876596002084430E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6509072811683172E+000                  2.4934389120227003E+000                  1.4681637301273431E+000                  1.5015618931584391E+000                 -4.5167556932916358E-001                  5.4779113032295861E+000                 -3.2899409099599373E+000                  1.0311507403928152E+001                 -3.2899409099599373E+000                  5.4779113032295861E+000                  6.2131674303893036E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059836E-003                  9.3604492797742141E-003                  6.9999999999999962E-001                  2.7997020236474890E-001                                        0                                        0                                        4 
                                       7                                      559                  1.2915903999999998E-004                 -4.5249125237142502E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7585858753119217E-005                  8.7028397489782594E-001                  2.4035224778892565E-004                  9.9999805600816050E-001                  9.4991627393099709E-001                  8.7028397489782594E-001                  2.4035224778892565E-004                  9.9999805600816050E-001                  9.4991627393099709E-001                 -2.0876596280760410E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876596280760410E+001                 -2.0876596280760410E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6494296658995538E+000                  2.4874077068783658E+000                  1.4681033580927016E+000                  1.5016826372277217E+000                 -4.3810217777227539E-001                  5.4779112656740701E+000                 -3.2899408302183293E+000                  1.0311507445180371E+001                 -3.2899408302183293E+000                  5.4779112656740701E+000                  6.2131674322063601E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059836E-003                  9.3604492797742141E-003                  6.9999999999999984E-001                  2.7997020236474895E-001                                        0                                        0                                        4 
                                       8                                      557                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7585448828794495E-005                  8.7028397489782616E-001                  2.4035231462703454E-004                  9.9999805600816050E-001                  9.4991627393429001E-001                  8.7028397489782616E-001                  2.4035231462703454E-004                  9.9999805600816050E-001                  9.4991627393429001E-001                 -2.0876596594306577E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876596594306577E+001                 -2.0876596594306577E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6477575077881279E+000                  2.4805794610918936E+000                  1.4680335514223171E+000                  1.5018222505684913E+000                 -4.2293000089204047E-001                  5.4779112298754793E+000                 -3.2899407457062884E+000                  1.0311507492964596E+001                 -3.2899407457062884E+000                  5.4779112298754793E+000                  6.2131674340009491E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059836E-003                  9.3604492797742141E-003                  6.9999999999999962E-001                  2.7997020236474890E-001                                        0                                        0                                        4 
                                       9                                      559                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7584907495507881E-005                  8.7028397489782550E-001                  2.4035240102140772E-004                  9.9999805600816050E-001                  9.4991627393786626E-001                  8.7028397489782550E-001                  2.4035240102140772E-004                  9.9999805600816050E-001                  9.4991627393786626E-001                 -2.0876596944722785E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876596944722785E+001                 -2.0876596944722785E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6459134722251179E+000                  2.4730433975676074E+000                  1.4679535907861949E+000                  1.5019821718407353E+000                 -4.0454225291443052E-001                  5.4779111972136789E+000                 -3.2899406570896796E+000                  1.0311507548018733E+001                 -3.2899406570896796E+000                  5.4779111972136789E+000                  6.2131674357229671E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059836E-003                  9.3604492797742141E-003                  6.9999999999999984E-001                  2.7997020236474895E-001                                        0                                        0                                        4 
